recipe,example_outputs
anchor.json,"anchor-stone"
antlermount.json,"antlermount; antlermount; antlermount"
armor/antique.json,"armor-head-antique-blackguard-damaged; armor-head-antique-blackguard-pristine; armor-body-antique-blackguard-damaged; armor-body-antique-blackguard-pristine; armor-legs-antique-blackguard-damaged; ..."
armor/brigandine.json,"armor-head-brigandine-{metal}; armor-body-brigandine-{metal}; armor-legs-brigandine-{metal}"
armor/chain.json,"armor-head-chain-{metal}; armor-body-chain-{metal}; armor-legs-chain-{metal}"
armor/gambeson.json,"armor-head-sewn-linen; armor-body-sewn-linen; armor-legs-sewn-linen"
armor/hide.json,"armor-body-hide-bear-{species}; armor-body-hide-bear-{species}; armor-legs-hide-bear-{species}; armor-legs-hide-bear-{species}; armor-head-hide-bear-{species}"
armor/improvisedwoodarmor.json,"armor-body-improvised-wood"
armor/jerkin.json,"armor-body-jerkin-leather; armor-legs-jerkin-leather"
armor/lamellar.json,"armor-head-lamellar-wood; armor-head-lamellar-wood; armor-head-lamellar-wood; armor-head-lamellar-wood; armor-body-lamellar-wood; ..."
armor/leather.json,"armor-head-sewn-leather; armor-body-sewn-leather; armor-legs-sewn-leather"
armor/plate.json,"armor-head-plate-{metal}; armor-body-plate-{metal}; armor-legs-plate-{metal}"
armor/scale.json,"armor-head-scale-{metal}; armor-body-scale-{metal}; armor-legs-scale-{metal}"
armor/tailoredgambeson.json,"armor-head-tailored-{color}-linen; armor-body-tailored-{color}-linen; armor-legs-tailored-{color}-linen"
armorrepair/antique.json,"armor-head-antique-blackguard-damaged; armor-head-antique-blackguard-pristine; armor-body-antique-blackguard-damaged; armor-body-antique-blackguard-pristine; armor-legs-antique-blackguard-damaged; ..."
armorrepair/brigandine.json,"armor-head-brigandine-{metal}; armor-body-brigandine-{metal}; armor-legs-brigandine-{metal}"
armorrepair/chain.json,"armor-head-chain-{metal}; armor-body-chain-{metal}; armor-legs-chain-{metal}"
armorrepair/gambeson.json,"armor-head-sewn-linen; armor-body-sewn-linen; armor-legs-sewn-linen"
armorrepair/improvisedwoodarmor.json,""
armorrepair/jerkin.json,"armor-body-jerkin-leather; armor-legs-jerkin-leather"
armorrepair/lamellar.json,"armor-head-lamellar-wood; armor-body-lamellar-wood; armor-legs-lamellar-wood; armor-head-lamellar-{metal}; armor-body-lamellar-{metal}; ..."
